YearlyGross,YearlyNet,YearlyNet/12,MonthlyGross,MonthlyNet,SpecialNet,TotalPercent,YearlyIncrement[%],MonthlyIncrement[%],SpecialIncrement[%],MonthlySv,SpecialSv,MonthlyTax,SpecialTax
14000,11421,952,1000,819,798,82,81,82,78,181,171,0,31
15400,12559,1047,1100,901,876,82,81,82,78,199,188,0,36
16800,13540,1128,1200,969,953,81,70,69,78,217,205,13,41
18200,14481,1207,1300,1035,1031,80,67,66,78,236,223,30,46
19600,15423,1285,1400,1100,1109,79,67,66,78,254,240,46,51
21000,16365,1364,1500,1166,1187,78,67,66,78,272,257,62,56
22400,17307,1442,1600,1231,1265,77,67,66,78,290,274,79,61
23800,18249,1521,1700,1297,1343,77,67,66,78,308,291,95,66
25200,19191,1599,1800,1362,1421,76,67,66,78,326,308,111,71
26600,20032,1669,1900,1420,1499,75,60,57,78,344,325,136,76
28000,20827,1736,2000,1473,1577,74,57,53,78,362,342,165,81
29400,21621,1802,2100,1526,1655,74,57,53,78,381,360,193,86
30800,22416,1868,2200,1579,1733,73,57,53,78,399,377,222,91
32200,23210,1934,2300,1632,1810,72,57,53,78,417,394,251,96
33600,24005,2000,2400,1686,1888,71,57,53,78,435,411,279,101
35000,24799,2067,2500,1739,1966,71,57,53,78,453,428,308,106
36400,25594,2133,2600,1792,2044,70,57,53,78,471,445,337,111
37800,26388,2199,2700,1845,2122,70,57,53,78,489,462,365,116
39200,27183,2265,2800,1899,2200,69,57,53,78,507,479,394,121
40600,27977,2331,2900,1952,2278,69,57,53,78,525,496,423,126
42000,28772,2398,3000,2005,2356,69,57,53,78,544,514,451,131
43400,29566,2464,3100,2058,2434,68,57,53,78,562,531,480,136
44800,30330,2527,3200,2109,2512,68,55,51,78,580,548,511,141
46200,31055,2588,3300,2156,2590,67,52,47,78,598,565,546,146
47600,31781,2648,3400,2204,2667,67,52,47,78,616,582,580,150
49000,32507,2709,3500,2251,2745,66,52,47,78,634,599,614,155
50400,33232,2769,3600,2299,2823,66,52,47,78,652,616,649,160
51800,33958,2830,3700,2346,2901,66,52,47,78,670,633,683,165
53200,34684,2890,3800,2394,2979,65,52,47,78,689,651,718,170
54600,35409,2951,3900,2441,3057,65,52,47,78,707,668,752,175
56000,36135,3011,4000,2489,3135,65,52,47,78,725,685,786,180
57400,36861,3072,4100,2536,3213,64,52,47,78,743,702,821,185
58800,37587,3132,4200,2584,3291,64,52,47,78,761,719,855,190
60200,38312,3193,4300,2631,3369,64,52,47,78,779,736,890,195
61600,39038,3253,4400,2679,3447,63,52,47,78,797,753,924,200
63000,39764,3314,4500,2726,3524,63,52,47,78,815,770,958,205
64400,40489,3374,4600,2774,3602,63,52,47,78,834,788,993,210
65800,41215,3435,4700,2821,3680,63,52,47,78,852,805,1027,215
67200,41941,3495,4800,2869,3758,62,52,47,78,870,822,1062,220
68600,42666,3556,4900,2916,3836,62,52,47,78,888,839,1096,225
70000,43392,3616,5000,2964,3914,62,52,47,78,906,856,1130,230
71400,44118,3676,5100,3011,3992,62,52,47,78,924,873,1165,235
72800,44844,3737,5200,3059,4070,62,52,47,78,942,890,1199,240
74200,45569,3797,5300,3106,4148,61,52,47,78,960,907,1233,245
75600,46295,3858,5400,3154,4226,61,52,47,78,978,924,1268,250
77000,47021,3918,5500,3201,4303,61,52,47,78,997,942,1302,255
78400,47905,3992,5600,3259,4397,61,63,58,94,997,942,1344,261
79800,48789,4066,5700,3317,4491,61,63,58,94,997,942,1386,267
81200,49673,4139,5800,3375,4585,61,63,58,94,997,942,1428,273
82600,50557,4213,5900,3433,4679,61,63,58,94,997,942,1470,279
84000,51438,4287,6000,3491,4773,61,63,58,94,997,942,1512,285
85400,52250,4354,6100,3543,4867,61,58,52,94,997,942,1560,291
86800,53062,4422,6200,3595,4961,61,58,52,94,997,942,1608,297
88200,53874,4490,6300,3647,5055,61,58,52,94,997,942,1656,303
89600,54686,4557,6400,3699,5149,61,58,52,94,997,942,1704,309
91000,55498,4625,6500,3751,5243,61,58,52,94,997,942,1752,315
92400,56310,4693,6600,3803,5337,61,58,52,94,997,942,1800,321
93800,57122,4760,6700,3855,5431,61,58,52,94,997,942,1848,327
95200,57934,4828,6800,3907,5525,61,58,52,94,997,942,1896,333
96600,58746,4896,6900,3959,5619,61,58,52,94,997,942,1944,339
98000,59558,4963,7000,4011,5713,61,58,52,94,997,942,1992,345
99400,60370,5031,7100,4063,5807,61,58,52,94,997,942,2040,351
100800,61182,5099,7200,4115,5901,61,58,52,94,997,942,2088,357
102200,61994,5166,7300,4167,5995,61,58,52,94,997,942,2136,363
103600,62806,5234,7400,4219,6089,61,58,52,94,997,942,2184,369
105000,63618,5302,7500,4271,6183,61,58,52,94,997,942,2232,375
106400,64430,5369,7600,4323,6277,61,58,52,94,997,942,2280,381
107800,65242,5437,7700,4375,6371,61,58,52,94,997,942,2328,387
109200,66054,5505,7800,4427,6465,60,58,52,94,997,942,2376,393
110600,66866,5572,7900,4479,6559,60,58,52,94,997,942,2424,399
112000,67678,5640,8000,4531,6653,60,58,52,94,997,942,2472,405
113400,68490,5708,8100,4583,6747,60,58,52,94,997,942,2520,411
114800,69302,5775,8200,4635,6841,60,58,52,94,997,942,2568,417
116200,70114,5843,8300,4687,6935,60,58,52,94,997,942,2616,423
117600,70926,5911,8400,4739,7029,60,58,52,94,997,942,2664,429
119000,71737,5978,8500,4791,7123,60,58,52,94,997,942,2713,435
120400,72525,6044,8600,4841,7217,60,56,50,94,997,942,2763,441
121800,73313,6109,8700,4891,7311,60,56,50,94,997,942,2813,447
123200,74101,6175,8800,4941,7405,60,56,50,94,997,942,2863,453
124600,74889,6241,8900,4991,7499,60,56,50,94,997,942,2913,459
126000,75677,6306,9000,5041,7593,60,56,50,94,997,942,2963,465
127400,76465,6372,9100,5091,7687,60,56,50,94,997,942,3013,471
128800,77253,6438,9200,5141,7781,60,56,50,94,997,942,3063,477
130200,78041,6503,9300,5191,7875,60,56,50,94,997,942,3113,483
131600,78829,6569,9400,5241,7969,60,56,50,94,997,942,3163,489
133000,79617,6635,9500,5291,8063,60,56,50,94,997,942,3213,495
134400,80405,6700,9600,5341,8157,60,56,50,94,997,942,3263,501
135800,81193,6766,9700,5391,8251,60,56,50,94,997,942,3313,507
137200,81981,6832,9800,5441,8345,60,56,50,94,997,942,3363,513
138600,82769,6897,9900,5491,8439,60,56,50,94,997,942,3413,519
